id,lat,lon,z
039620-99999,52.702,-8.925,14
039650-99999,53.083,-7.883,72
039670-99999,53.302,-6.451,97.2
039690-99999,53.421,-6.27,73.8
039700-99999,53.717,-8.983,69
039710-99999,53.533,-7.367,100
039730-99999,53.91,-8.818,202.7
039740-99999,54.183,-7.233,89
039760-99999,54.233,-10,9.7
039780-99999,54.483,-8.233,34.7
039800-99999,55.367,-7.333,25
040040-99999,64.9,-23.933,7
040050-99999,66.15,-23.25,24
040130-99999,65.083,-22.733,8
040180-16201,63.967,-22.6,52.1
040230-99999,66.417,-22.383,27
040300-99999,64.13,-21.941,14.6
040380-99999,63.867,-21.15,5
040450-99999,65.667,-20.3,22
040480-99999,63.424,-20.279,99.4
040530-99999,65.7,-19.617,43
040560-99999,64.867,-19.567,642
040630-99999,65.66,-18.073,1.8
040640-99999,63.783,-18.067,38
040650-99999,66.533,-18.017,16
040730-99999,65.633,-16.117,386
040770-99999,66.45,-15.95,10
040820-99999,64.296,-15.227,7.3
040850-99999,65.75,-14.833,48
040890-99999,65.283,-14.401,23.2
040970-99999,65.267,-13.583,11
041150-99999,65.7,-23.083,621
042020-99999,76.531,-68.703,76.5
042021-99999,68.717,-52.8,27
042023-99999,70.733,-52.7,89
042030-99999,76.633,-73,11
042040-99999,65.417,-52.933,15
042050-99999,77.483,-69.383,16
042070-99999,81.683,-59.933,105
042080-99999,74.033,-57.817,40
042100-99999,72.783,-56.167,120
042140-99999,70.683,-54.617,27
042200-99999,68.7,-52.85,41
042210-99999,69.233,-51.067,31
042280-99999,67.783,-53.967,12
042300-99999,66.917,-53.667,9
042310-99999,67.017,-50.689,50.3
042420-99999,65.017,-52.55,14
042500-99999,64.167,-51.75,84
042530-99999,62.567,-50.417,22
042600-99999,62.017,-49.667,15
042660-99999,60.75,-48.45,30
042700-99999,61.161,-45.426,34.1
042720-99999,60.717,-46.05,34
042850-99999,59.983,-45.2,16
043010-99999,83.65,-33.367,4
043120-99999,81.6,-16.65,36
043130-99999,80.65,-13.717,10
043200-99999,76.767,-18.667,12
043300-99999,74.3,-20.217,44
043390-99999,70.483,-21.95,69
043410-99999,70.75,-22.65,10
043510-99999,67.783,-32.283,23
043600-99999,65.6,-37.633,52
043610-99999,65.583,-37.15,37
043730-99999,64.783,-40.3,80
043820-99999,61.933,-42.067,39
043900-99999,60.033,-43.117,19
044160-99999,72.583,-38.45,3207
060090-99999,61.4,-6.667,102
060100-99999,62.064,-7.277,85.3
060110-99999,62.017,-6.767,61
060190-99999,56.933,8.633,41
060240-99999,57.069,8.705,7
060300-99999,57.093,9.849,3
060310-99999,57.183,9.95,13
060320-99999,57.383,10.333,55
060340-99999,57.504,10.229,28
060410-99999,57.733,10.633,5
060490-99999,56.567,10.1,89
060520-99999,56.7,8.217,4
060580-99999,56,8.15,5
060590-99999,56.05,8.1,3
060600-99999,56.297,9.125,51.8
060620-99999,56.55,9.173,22.6
060660-99999,55.99,8.354,5.2
060690-99999,56.5,9.567,58
060700-99999,56.3,10.619,25
060710-99999,56.45,10.967,8
060740-99999,56.083,10.133,55
060790-99999,56.717,11.517,4
